file_name,transcript,parl_intent_intent_1,parl_intent_intent_2,parl_intent_intent_3
72_6e4d99ea391011ed9c490603bdd00153.wav,"The memory of this political colossus Mr speaker is in order. Mr speaker, it is said",Expressing respect and acknowledging the speaker,Requesting permission to speak,Making a statement about the speaker
73_bc0137c8391011ed82750603bdd00153.wav,"It is an undeniable fact, that the uncontrolled perforation of small arms and light weapons into the country result in untold human suffering, thus undermining development and socio-economic",The speaker is highlighting the negative consequences of uncontrolled arms trafficking on the country's development and socio-economic stability.,The speaker is emphasizing the severity of the issue of uncontrolled arms trafficking and its impact on human well-being.,The speaker is attempting to raise awareness about the devastating effects of uncontrolled arms trafficking on the country's socio-economic progress.
74_c893b400391211ed82750603bdd00153.wav,"Was ready and we also do know that Ghana [inaudible] authorities where the project financeers. And so we want to know, what is occasioning the o, o, of what is the nature",The speaker is seeking clarification on the nature of the project financeers in Ghana.,The speaker is inquiring about the circumstances surrounding the project financeers in Ghana.,The speaker is requesting information about the project financeers in Ghana and their current status.
75_9872cefc391011ed8b5f0603bdd00153.wav,"I think it gives more, it throws more light onto the issue at stake but I want to find out from the Honorable Minister where ever the Ministry of Foreign.",The speaker is seeking clarification from the Minister on a specific point.,The speaker is requesting information from the Minister regarding the Ministry of Foreign.,The speaker is attempting to gather more insight into the issue at hand.
76_93f9626e391011edb71e0603bdd00153.wav,"Was 1.1 billion Ghana Cedis, this year the Ministry projects to increase farmer participation in the planting for food and [inaudible] programme.",The speaker is providing information about the Ministry's plans for the planting for food and [inaudible] programme.,The speaker is highlighting the Ministry's projected increase in farmer participation in the programme.,The speaker is presenting a statistic or data point related to the Ministry's goals for the programme.
77_6480d740391211ed8b5f0603bdd00153.wav,"This institution so that they can work together for uniformity. Speaker, let me just conclude on the note that,for the fact that the standard authority is going to be decentralized, for me, it's a game changer.",The speaker is advocating for a unified approach within the institution.,The speaker is highlighting the significance of decentralization in the proposed standard authority.,The speaker is concluding their statement by emphasizing the potential impact of the proposed change.
78_45301e42391111ed8d4a0603bdd00153.wav,"To the major characteristic of the financial management of this country, this is the most [Inaudible] transparent and the most and fair",The speaker is commending the government's financial management practices.,The speaker is highlighting the transparency and fairness of the country's financial management.,The speaker is expressing approval of the government's handling of financial matters.
79_94a15cf6391211ed82750603bdd00153.wav,"Mr Speaker the Deputy Minister for Finance himself is a Minister. He's a member of parliament, how much was paid in your MD common fund account, in your Visa common fund account? It's okay, the man deferred Mr Speaker [inaudible] only 60 percent ",The speaker is requesting information from the Deputy Minister for Finance regarding his financial accounts.,The speaker is inquiring about the Deputy Minister's financial transparency and accountability.,The speaker is seeking clarification on the Deputy Minister's financial dealings through the MD common fund and Visa common fund accounts.
80_7befcb84391211ed8b5f0603bdd00153.wav,When the auditor is exiting he calls you to say that i still have fees outstanding .You say i will provide.The auditor now writes back to you to say that though that you did not provide i want to incorporate them in my report and make my conclusion in the ma,The speaker is attempting to clarify a discrepancy in the report.,The speaker is requesting that the auditor include outstanding fees in their report.,The speaker is providing a justification for not having provided the fees as requested.
81_9e54caaa391011edb71e0603bdd00153.wav,"That you approve of the allocation,  ministry of Agriculture. I thank you very much Mr speaker. Other conclusion of the debate. requesting all in favour of the motion say Aye. Aye! All against say no. No. The ""ayes"" have it",The speaker is requesting a vote in favor of the motion.,The speaker is formally concluding the debate and moving on to the voting process.,The speaker is thanking the speaker of the house for their approval of the allocation to the ministry of Agriculture.
82_7f98be44391211ed8d4a0603bdd00153.wav,"And no taxation shall be imposed other than by the authority of parliament. So we can still leave it there. But I will think that everywhere it should be, it should okay so that is fine but let's deal with the one",The speaker is proposing a modification to the existing rule.,The speaker is seeking consensus on the proposed change.,The speaker is suggesting a compromise on the taxation authority.
83_ccf7d2ca391111edb71e0603bdd00153.wav,"to resolve the global economic impact on our country and resolve the issues of {inaudible} but let the fact also be cleared mr speaker that all the economic indicators which prevail today,mr speaker without the pandemic ","The speaker is attempting to shift the focus to a broader issue, the global economic impact on their country.","The speaker is seeking to clarify a point of fact, specifically the current economic indicators.","The speaker is trying to establish a context for the discussion, addressing the pandemic's influence on the economy."
85_6d4d27a2391211ed82750603bdd00153.wav,"And as you rightly said, I am the vice chair and I have his permission to proceed with your leave. Very well.",The speaker is seeking permission to proceed with the discussion.,The speaker is acknowledging the previous speaker and seeking to take control of the discussion.,The speaker is confirming their authority to continue with the proceedings.
87_8b42892a391011ed9c490603bdd00153.wav,"Of colonial administration. Mr. Speaker at the height, at the pith of this statement, is sad to relate the rather unrecognized role of ",The speaker is highlighting an important aspect of colonial administration.,The speaker is expressing regret or disappointment about the lack of recognition for a particular role.,The speaker is setting the context for a discussion or proposal related to colonial administration.
88_b93f928a391211ed927b0603bdd00153.wav,Members can have problems of how the solve the process and comment on it but to accuse a ruling party or Mr president in that process is totally unfair because we make the laws here,The speaker is attempting to defend the legislative process and the ruling party against accusations.,The speaker is emphasizing the importance of constructive criticism within the legislative process.,The speaker is advocating for a respectful tone in discussions about the legislative process.
90_3cc34d60391111ed927b0603bdd00153.wav,"- is in the account. I only hope and pray that that money will be kept secured, as it has to be kept secured; and whenever that obligation is due, we use the same money to service it. Thank you Mr. Speaker.- Thank you very much.  Yes, honourable member for Trogbo",The speaker is expressing a desire for the money to be secured and used for its intended purpose.,The speaker is emphasizing the importance of responsible financial management.,The speaker is acknowledging the obligation to service the debt and expressing gratitude for the opportunity to speak.
91_be411d5a391011ed82750603bdd00153.wav,"Who were reported to be providing locally manufactured guns to armed robbers, my honourable speaker, I must also indicate the National Commission of Small Arms and Light Weapons has been embarking on public education",The speaker is inquiring about the source of locally manufactured guns used by armed robbers.,The speaker is seeking to inform the assembly about the efforts of the National Commission of Small Arms and Light Weapons.,The speaker is attempting to bring attention to the public education initiatives undertaken by the National Commission of Small Arms and Light Weapons.
92_30f27faa391211ed8b5f0603bdd00153.wav,Source procurement without approval from the Public Procurement Authority. The committee noted that the management has since applied for retrospective approval of the [Inaudible] source procurement.,The speaker is pointing out a potential issue with the procurement process.,The speaker is highlighting a discrepancy in the management's actions.,The speaker is questioning the legitimacy of the procurement process.
93_55fb25a4391211ed8b5f0603bdd00153.wav,"The Weight and Measurement Act 1575. The weight...eh, the....eh...emm...And I will listen. LI664LI1541 and all the various laws and legisla",Requesting clarification,Providing background information,Transitioning to a new topic
94_b6d74fde391111edb71e0603bdd00153.wav,I hope he will easily attend to your concerns and then we see how we can intensify agricultural protection amongst our area. It is one surest way of dealing with unemployment. It is one surest way ,The speaker is advocating for a proposal to intensify agricultural protection in their area.,The speaker is providing justification for the importance of agricultural protection in addressing unemployment.,The speaker is suggesting a potential solution to unemployment through agricultural protection.
95_4567e94a391011edb71e0603bdd00153.wav,"This is the one you said was not yes[inaudible] report on the committee on constitutional, legal and parliamentary affairs on the annual of the right of information",The speaker is inquiring about a previous statement made by another member.,The speaker is seeking clarification on the status of a report related to the right of information.,"The speaker is referencing a previous discussion or decision made by the committee on constitutional, legal and parliamentary affairs."
96_55239ab4391011ed9c490603bdd00153.wav,The member the adjoining constituency is asking you whether you come to his constituency to offer support for the women thank you Mr speaker definitely I will do that thank you,The speaker is offering to provide support to a specific constituency.,The speaker is committing to take a specific action in response to a request.,The speaker is acknowledging a question or request from another member.
